id,Medicine Name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class,Condition,User,Date,Rating,Content,reference,food_interactions__001,food_interactions__002,food_interactions__003,food_interactions__004,food_interactions__005,food_interactions__006,food_interactions__007,food_interactions__008,Substitute
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxiety,Mii,26-Sep-19,10,"Lexapro (escitalopram)""The first couple of weeks I had nausea but it went away! I had anxiety & depression. I’ve been taking for about 4-5 months, This pill has changed my life I get excited about a sunny day I have for the first time in 6 years made new friends and the colour is back in the world for me. I used to be very underweight like 40kg and hated food to gaining 10kgs in 4 months and enjoying food & loving my body. After a couple months on this pill I just noticed “hey I don’t cry at the bottom of the shower anymore”. Things are better. I hope this helps someone out there""",,,,,,,,,,
,Levocetirizine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urticaria,Anonymous,13-May-10,10,"Xyzal (levocetirizine)""I have suffered from hives for over 30 years.  No medicine helped.  I had them for 3 years straight, 24/7.  My hives have come back about 4 different times, lasting up to a year.  I have been on Xyzal for about 2 months.  I take Benadryl, then an hour later I will take the  Xyzal.  I take Benadryl at bedtime.  This is the first time in the 30 years that I feel they are under control.  For anyone with chronic hives, its worth a shot.  I have no side effects as of yet.  They do not make me tired either.""",,,,,,,,,,
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxiety,Heres...,7-Aug-15,1,"Lexapro (escitalopram)""I read these reviews which helped me to make a decision to take this med so I will add my experience in the hopes it will help others. I am 56, male and had two minor heart attacks 6 months ago. That and a very stressful job caused many sleepless nights and some stress and anxiety. My Doctor suggested lexipro a few times and I finally decided to give it a try. I was prescribed 10 mg and broke them in half as a trial so 5 mg to start.The first 2-3 days I felt no change but by day 3-4 the side effects kicked in hard. Nausea, severe hot flashes, fullness and tightness in chest, fogginess, very anxious feelings. I decided to stop after 6 days and was worried about any withdrawal but the day I stopped I felt much better. just my experience.""",,,,,,,,,,
,Diclofenac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migraine,BeeGee,11-Apr-17,10,"Cambia (diclofenac)""I was having frequent migraines to the point where it was making me hate life and cry all the time. I was scared to take it but it worked within two minutes. If you are scared and feel hopeless try this medication it will literally save you from the drowning that migraines can make you feel. Its the only medication I can say that is truly magic.""",,,,,,,,,,
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generalized Anxiety DisorderOff-label,Natal...,1-Aug-17,9,"""I have been on Zoloft for almost 5 months and I can honestly say it has saved me and and made my life brighter in so many ways. I was really struggling with GAD and panic attacks for about 3 years before I began and was struggling to cope, which felt very isolating. Zoloft has made me more feel more at ease, I feel more productive and motivated every day and far less irritated and impatient, to just name a couple of the benefits. I wish I hadn't waited so long to start (I was afraid of side effects), but I'm happy to say I'm feeling so much better. The side effects are difficult, I won't lie, for me they lasted about a month. I mostly just felt tired and spaced out and not very hungry. They do disappear however and it's so worth it.""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Nitrofurantoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urinary Tract Infection,Anonymous,23-Jan-12,1,"Macrobid (nitrofurantoin)""Does not work for me.""",,,,,,,,,,Ciprofloxacin
,Diclofenac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rheumatoid Arthritis,Sally,29-Dec-20,1,"Voltaren (diclofenac)""I tried Voltaren once yesterday on my knee. I used less than the 2 inches recommended. In a short time, my face turned bright red like a sunburn. I am returning this to the store and will not use again.""",,,,,,,,,,
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generalized Anxiety DisorderOff-label,Lodgesa,6-Oct-19,10,"""After suffering with anxiety and depression for years, it finally got so bad that I could barely leave the house. I quit my job, and used to spend day after day just lying on the sofa getting worse and worse. I was reluctant to take any sort of medication at first, but thought there was no other option, so off to the doctor's I went, and they recommend Sertraline. I started on 50mg. Had the usual side effects of feeling sick, headaches, but no more anxious than I already was. After a couple of weeks they passed, and I started to notice a difference in how I was feeling. My mood was lifting and slowly I started to do things I hadn't been able to for a long time. I did up my dose to 100mg, and now I've gone back to work, socialise with my friends, and generally feel so much better in myself. It's not a miracle drug by any means, but it does keep me on an even keel, and I now enjoy my life as I should do. No plans to come off it either. If it works then why change it? """,,,,,,,,,,"Fluoxetine, Escitalopram"
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generalized Anxiety Disorder,Rozer,4-Jun-14,1,"Lexapro (escitalopram)""Completely numbed me, gave me horrible panic attacks. Even when I'd gotten used to the medication my panic attacks turned into a deep depression and felt completely lifeless. 5 weeks in I couldn't do it anymore""",,,,,,,,,,
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,sugar...,12-May-15,7,"""Started out with 10 mg, stuck with it for probably 3-4 months, the entire time feeling sluggish, tired and lethargic.  I would kind of sit like a zombie at my desk all day long.  Did help my anxiety, because I basically couldn't feel much of any emotion at all.
Reduced to 5 mg, still does take the edge of my anxiety, which tends to come in waves, especially during the night.  However, I still feel somewhat sluggish and like my brain isn't as sharp.  I've been on this dosage now for about 9 months, although on my doctor's advice I did try cutting it down to 2.5 or taking 5 mg every other day, but my anxiety got worse right away.""",,,,,,,,,,
,Liothyronine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Underactive Thyroid,A...,15-Mar-15,10,"Cytomel (liothyronine)""Synthroid by itself was not effective.  It is of great interest to me that so many other people have had the experience of being told by a physician that everything is fine while everything was, decidedly, NOT FINE!  (making long story short due to length restriction. Details need space.)  Large dosage of Synthroid ineffective, nurse practitioner certain nothing wrong, physician A dosage is ok but maybe a small bump, small effect for short period then return to prebump effect, concerned that observation due to psychological rather than physiological waited, physician B does further workup, physician B sees most of Syntroid dosage going to reverse T3 (physiologically ineffective) adds Cytomel, the improvement was immediate; not psych.""",,,,,,,,,,
,Clopidogrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acute Coronary Syndrome,john...,14-Sep-22,7,"Plavix (clopidogrel)""Excellent result when compared with other substitutes. BUt not available in market..""",,,,,,,,,,
,Ciprofloxacin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinusitis,JaneM...,13-Apr-16,9,"""Cipro gets a bad rap. It is the ONLY thing that knocked out my terrible sinus infection. I would take it again for sure.  IT WORKS.""",,,,,,,,,,
,Fluoxetine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,Jennu,4-Jun-19,8,"""Two words to describe Prozac ‘GAME CHANGER’. I have spent years suffering depression, overwhelming anxiety, panic  attacks, and as of recent- extreme anger and outbursts due to the circumstances of a horrible divorce. I spent 20 years in a marriage with a man who had borderline personality disorder.   His emotional and physical abuse resulted in me taking the easy path and  I ended up being a victim. I had given up on my life. I hated everything and everyone because I was so angry. I cried everyday over everything. I quit working and crawled under the covers and stay for good. I tried to take other anti depressants (Celexa, Zoloft, Wellbutrin) only to quit because side effects were unbearable. Now  6 weeks so far on the Prozac and I feel like a completely different person. I can’t even believe I allowed myself to fall so hard. But we do sometimes and that’s OK. Please don’t give up. There is a solution out there for everyone. Life is worth living!""",,,,,,,,,,
,Sumatriptan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migraine,Manch...,21-Sep-11,8,"Imitrex (sumatriptan)""I have been using Imitrex for over a year now. It works very well for me.  I had some trouble with chest pain for awhile. My Neurologist told me to try 1/4 to 1/2 tablet (25-50mg).  This has worked for me. The headache goes away and all side effects are diminished.  I found that the side effects varied depending on the manufacturer. There is something like a 7% variance in dosage (a 100 mg tablet can contain as little as 93 mg or as much as 107 mg of Sumatriptan). Also some coatings dissolve faster than others, therefore more severe side effects if the Sumatriptan is absorbed too rapidly.""",,,,,,,,,,Rizatriptan
,Nitrofurantoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urinary Tract Infection,Sweets,17-Nov-19,6,"""I have a very sensitive system and this med is horrible, causing dizziness, severe nausea, crying spells and balance issues.   I'm told I must take this med or be put in a hospital for IV antibiotic.   Hope I'll outlast these horrid side effects.   Stay away from this med if at all possible.""",,,,,,,,,,Ciprofloxacin
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premenstrual Dysphoric Disorder,Queen,25-Mar-22,10,"Zoloft (sertraline)""For a few years now I have been experiencing severe PMS. High irritability,  anxiety and mood swing. I am 42 years old and it started around 38 years of age. Around that time I also became a mom, so that was an added stressor. Coping became extremely difficult during PMS time.  I would have severe mood swings which caused me to have fights with family,  friends and co-workers.  

I tried therapy but it was pretty useless. A doctor prescribed me zoloft  but I have always stayed away from pharmaceutical drugs because of the long list of side effects. 

I finally decided to take it as it was hurting my family life and my anger and anxiety were becoming unmanageable and the guilt would throw me into severe depression.  So far 4 months on the lowest dose, 25 mg, I haven't had what I call a ""psycholotic episode "", which usually means a severe outburst and mood swing. I haven't experienced any side effects thank goodness. I only had a lot of sweating in the start and that was it.""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Pantoprazole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gastritis/Duodenitis,Anth,28-Jun-22,2,"""I got put on 40mg of Somac once daily after my Gastro identified I had lymphocitic gastritis.. I understand why he put me on this drug - lymphocitic gastritis is very poorly understood and he threw the kitchen sink at it.
Let me tell you, if you ever get prescribed any PPIs, unless you have a critical medical issue.. DO NOT TAKE THEM. Fix your damn diet first, get pre and probiotics, stop drinking coffee and booze.
Most forms of gastritis, even the rare LG is transient and easily solved with fixing your diet.
I dealt with acid reflux rebound for 6 months and my bowels hurt when i at certain foods. I was only on for a month before i took myself off them.""",,,,,,,,,,
,Nitrofurantoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urinary Tract Infection,Achoo,16-Dec-19,1,"""I was prescribed nitrofurantonin for vaginal pain and infection.  Did not help much with the problem. Had acute leg pain and cramps very severe. Two weeks later started with the same pain 20 times or so urinating at night. Will not take it again.""",,,,,,,,,,Ciprofloxacin
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,Anonymous,4-Apr-11,3,"Lexapro (escitalopram)""I have only been taking it for a couple days and I feel a little irritable and I sleep very well. I'm only twenty. But I have postpartum depression, I have had two kids. I hope that after a couple of weeks it starts getting better. I tried Cymbalta but the side effects were bad. I was irritable and could not sleep and I was tied all the time.""",,,,,,,,,,
,Fluoxetine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxiety and Stress,Jay,5-Feb-20,8,"Prozac (fluoxetine)""Okay so I was diagnosed with depression a while back, and recently I was out on Prozac, the first couple of days were completely fine, a little bit of nausea and sleepiness, but day 3,4,5,6,7 have been so hard, and I’m talking physically, mentally I think I’m doing okay, but physically? I have to throw up every morning, because of the nausea, I’m not okay till I take the meds and rest for a little bit. Now the doctors told me that those side effects should disappear today- day 7- or tmw - day 8- and if they don’t I need to contact him ASAP and let him know so he can give me a solution. But yesterday- day 6- I was super  happy, I didn’t stay in my room, man I didn’t even wanna go back home. I haven’t been having an suicidal thoughts at all, tbh each person has a different experience, but it will be really tough in the beginning for all of us, so stay strong and take care, I’ll come back after the side effects wore off and let you guys know how I’m doing.""",,,,,,,,,,
